Record_ID,Place,Zone,Police_Station,Crime_Type,Severity,Victim_Gender,Victim_Age_Group,Time_of_Crime,Day_of_Week,Month,Year,Weapon_Used,Number_of_Accused,Reported_Within_24h,Case_Status,Additional_Details,Data_Source
NGP-SYN-0490,Jaripatka,Zone V,Jaripatka,Assault,Medium,Male,60+,Late Night (11 PM-4 AM),Saturday,June,2024,None,Unknown,Yes,Chargesheet Filed,Accused fled the scene; manhunt launched by local police.,Fully Synthetic (for ML training / MVP use only - not real incidents)
NGP-SYN-0491,Kotwali,Zone VI (Gandhibagh),Kotwali,Burglary,Medium,Not Specified,26-35,Evening (3-7 PM),Thursday,September,2026,Blunt Object,1,No,Case Pending,Case reported to local police station; investigation ongoing.,Fully Synthetic (for ML training / MVP use only - not real incidents)
NGP-SYN-0492,Lakadganj,Zone VI (Gandhibagh),Lakadganj,Eve Teasing / Harassment,Low,Female,18-25,Late Night (11 PM-4 AM),Sunday,June,2024,None,2,Yes,Chargesheet Filed,Case linked to a series of similar incidents in the area.,Fully Synthetic (for ML training / MVP use only - not real incidents)
NGP-SYN-0493,Hingna,Zone I,Hingna,Chain Snatching,Medium,Male,26-35,Night (7-11 PM),Tuesday,September,2023,None/Physical Force,Unknown,No,Case Closed - Convicted,Case linked to a series of similar incidents in the area.,Fully Synthetic (for ML training / MVP use only - not real incidents)
NGP-SYN-0494,Bajaj Nagar,Zone I,Bajaj Nagar,Burglary,Medium,Male,Under 18,Evening (3-7 PM),Sunday,August,2025,None,1,Yes,FIR Registered - Under Investigation,CCTV footage under review as part of investigation.,Fully Synthetic (for ML training / MVP use only - not real incidents)
NGP-SYN-0495,Dharampeth,Zone II,Dharampeth,Rioting,High,Male,26-35,Afternoon (11 AM-3 PM),Monday,September,2025,None/Physical Force,1,Yes,Under Trial,Case registered under relevant sections of BNS; probe underway.,Fully Synthetic (for ML training / MVP use only - not real incidents)
NGP-SYN-0496,Pardi,Zone V,Pardi,Theft,Low,Male,26-35,Late Night (11 PM-4 AM),Friday,March,2026,None,1,Yes,Case Closed - Convicted,Incident logged in police records; no fatalities reported.,Fully Synthetic (for ML training / MVP use only - not real incidents)
NGP-SYN-0497,Tehsil,Zone VI (Gandhibagh),Tehsil,Chain Snatching,Medium,Male,18-25,Evening (3-7 PM),Wednesday,September,2024,Knife/Sharp Weapon,1,Yes,Case Closed - Convicted,Neighbourhood watch flagged the incident; forwarded to local police station.,Fully Synthetic (for ML training / MVP use only - not real incidents)
NGP-SYN-0498,Imambada,Zone VI (Gandhibagh),Imambada,Molestation,High,Female,36-45,Late Night (11 PM-4 AM),Wednesday,October,2025,None/Physical Force,1,Yes,Chargesheet Filed,FIR lodged based on victim complaint; no further public details available.,Fully Synthetic (for ML training / MVP use only - not real incidents)
NGP-SYN-0499,Lakadganj,Zone VI (Gandhibagh),Lakadganj,Theft,Low,Male,26-35,Morning (7-11 AM),Thursday,December,2024,None,2,No,FIR Registered - Under Investigation,Incident logged in police records; no fatalities reported.,Fully Synthetic (for ML training / MVP use only - not real incidents)
NGP-SYN-0500,Hingna,Zone I,Hingna,Chain Snatching,Medium,Male,26-35,Morning (7-11 AM),Monday,September,2025,None/Physical Force,1,Yes,Absconding Accused,Complaint filed at nearest police chowki; case under review.,Fully Synthetic (for ML training / MVP use only - not real incidents)
NGP-SYN-0501,Hudkeshwar,Zone IV,Hudkeshwar,Theft,Low,Female,26-35,Afternoon (11 AM-3 PM),Wednesday,January,2026,None,Unknown,Yes,FIR Registered - Under Investigation,Case reported to local police station; investigation ongoing.,Fully Synthetic (for ML training / MVP use only - not real incidents)
NGP-SYN-0502,Sitabuldi,Zone III,Sitabuldi,Mobile Phone Snatching,Low,Male,Under 18,Morning (7-11 AM),Wednesday,August,2025,None,1,Yes,Under Trial,Case linked to a series of similar incidents in the area.,Fully Synthetic (for ML training / MVP use only - not real incidents)
NGP-SYN-0503,Wardhaman Nagar,Zone IV,Wardhaman Nagar,Burglary,Medium,Male,60+,Evening (3-7 PM),Monday,August,2024,None,2,Yes,Case Closed - Convicted,Complaint filed at nearest police chowki; case under review.,Fully Synthetic (for ML training / MVP use only - not real incidents)
NGP-SYN-0504,Pardi,Zone V,Pardi,Motor Vehicle Theft,Medium,Male,26-35,Night (7-11 PM),Friday,November,2026,Knife/Sharp Weapon,1,Yes,FIR Registered - Under Investigation,Local police confirmed the incident; identity of accused not officially disclosed.,Fully Synthetic (for ML training / MVP use only - not real incidents)
NGP-SYN-0505,Ramdaspeth,Zone II,Ramdaspeth,Cyber Fraud,Medium,Not Specified,18-25,Evening (3-7 PM),Thursday,October,2025,None/Physical Force,2,No,Chargesheet Filed,Details limited in public record; case status as per station register.,Fully Synthetic (for ML training / MVP use only - not real incidents)
NGP-SYN-0506,Besa,Zone V,Besa,Motor Vehicle Theft,Medium,Not Specified,18-25,Night (7-11 PM),Tuesday,January,2026,None/Physical Force,3,No,Under Trial,Reported during routine beat patrolling; preventive action initiated in the locality.,Fully Synthetic (for ML training / MVP use only - not real incidents)
NGP-SYN-0507,Sadar,Zone II,Sadar,Eve Teasing / Harassment,Low,Female,18-25,Late Night (11 PM-4 AM),Friday,December,2025,None,2,No,Under Trial,Details limited in public record; case status as per station register.,Fully Synthetic (for ML training / MVP use only - not real incidents)
NGP-SYN-0508,Hawrapeth,Other,Hawrapeth,Theft,Low,Male,46-60,Evening (3-7 PM),Sunday,September,2024,None,1,No,FIR Registered - Under Investigation,Local police confirmed the incident; identity of accused not officially disclosed.,Fully Synthetic (for ML training / MVP use only - not real incidents)
NGP-SYN-0509,Ajni,Zone IV,Ajni,Burglary,Medium,Male,46-60,Morning (7-11 AM),Monday,December,2025,None,1,Yes,Under Trial,Reported during routine beat patrolling; preventive action initiated in the locality.,Fully Synthetic (for ML training / MVP use only - not real incidents)
NGP-SYN-0510,Sitabuldi,Zone III,Sitabuldi,Theft,Low,Not Specified,46-60,Late Night (11 PM-4 AM),Tuesday,February,2023,None,1,No,Case Closed - Convicted,Incident reported by area residents; police patrol increased subsequently.,Fully Synthetic (for ML training / MVP use only - not real incidents)
NGP-SYN-0511,Mankapur,Other,Mankapur,Theft,Low,Male,18-25,Late Night (11 PM-4 AM),Sunday,June,2026,None,1,No,Case Closed - Acquitted,Incident reported by area residents; police patrol increased subsequently.,Fully Synthetic (for ML training / MVP use only - not real incidents)
NGP-SYN-0512,Lakadganj,Zone VI (Gandhibagh),Lakadganj,Grievous Hurt,High,Not Specified,46-60,Evening (3-7 PM),Tuesday,June,2023,Vehicle,1,Yes,Case Closed - Convicted,Case registered under relevant sections of BNS; probe underway.,Fully Synthetic (for ML training / MVP use only - not real incidents)
NGP-SYN-0513,Giripeth,Zone II,Giripeth,Attempted Murder,High,Male,18-25,Late Night (11 PM-4 AM),Thursday,November,2026,Firearm,1,No,Under Trial,Victim taken to nearby hospital for treatment.,Fully Synthetic (for ML training / MVP use only - not real incidents)
NGP-SYN-0514,Gaddi Godam,Zone III,Gaddi Godam,Theft,Low,Male,Under 18,Morning (7-11 AM),Tuesday,February,2025,None,1,Yes,FIR Registered - Under Investigation,Case registered under relevant sections of BNS; probe underway.,Fully Synthetic (for ML training / MVP use only - not real incidents)
NGP-SYN-0515,Ganeshpeth,Zone VI (Gandhibagh),Ganeshpeth,Fatal Road Accident (Rash Driving),High,Male,26-35,Early Morning (4-7 AM),Sunday,June,2024,Knife/Sharp Weapon,2,Yes,Case Closed - Convicted,Incident logged in police records; no fatalities reported.,Fully Synthetic (for ML training / MVP use only - not real incidents)
NGP-SYN-0516,Ajni,Zone IV,Ajni,Theft,Low,Male,18-25,Evening (3-7 PM),Tuesday,May,2024,None,3,No,FIR Registered - Under Investigation,Case linked to a series of similar incidents in the area.,Fully Synthetic (for ML training / MVP use only - not real incidents)
NGP-SYN-0517,Yashodhara Nagar,Zone V,Yashodhara Nagar,Burglary,Medium,Male,26-35,Evening (3-7 PM),Tuesday,February,2024,None,2,No,FIR Registered - Under Investigation,Neighbourhood watch flagged the incident; forwarded to local police station.,Fully Synthetic (for ML training / MVP use only - not real incidents)
NGP-SYN-0518,Sadar,Zone II,Sadar,Cyber Fraud,Medium,Female,46-60,Late Night (11 PM-4 AM),Saturday,November,2023,Knife/Sharp Weapon,1,Yes,Chargesheet Filed,Accused fled the scene; manhunt launched by local police.,Fully Synthetic (for ML training / MVP use only - not real incidents)
NGP-SYN-0519,Friends Colony,Zone IV,Friends Colony,Chain Snatching,Medium,Female,26-35,Afternoon (11 AM-3 PM),Thursday,October,2026,None,1,No,FIR Registered - Under Investigation,Details limited in public record; case status as per station register.,Fully Synthetic (for ML training / MVP use only - not real incidents)
NGP-SYN-0520,Mahal,Zone VI (Gandhibagh),Mahal,Fatal Road Accident (Rash Driving),High,Female,46-60,Night (7-11 PM),Sunday,June,2026,Blunt Object,3,Yes,Under Trial,Case linked to a series of similar incidents in the area.,Fully Synthetic (for ML training / MVP use only - not real incidents)
NGP-SYN-0521,Wardhaman Nagar,Zone IV,Wardhaman Nagar,Cyber Fraud,Medium,Male,36-45,Night (7-11 PM),Wednesday,April,2026,None/Physical Force,1,Yes,FIR Registered - Under Investigation,Complaint filed at nearest police chowki; case under review.,Fully Synthetic (for ML training / MVP use only - not real incidents)
NGP-SYN-0522,Ganeshpeth,Zone VI (Gandhibagh),Ganeshpeth,Grievous Hurt,High,Female,18-25,Evening (3-7 PM),Thursday,December,2023,Firearm,1,No,Chargesheet Filed,Victim taken to nearby hospital for treatment.,Fully Synthetic (for ML training / MVP use only - not real incidents)
NGP-SYN-0523,Wardhaman Nagar,Zone IV,Wardhaman Nagar,House Break-in,Medium,Male,36-45,Afternoon (11 AM-3 PM),Saturday,August,2024,None,2,Yes,Chargesheet Filed,Incident logged in police records; no fatalities reported.,Fully Synthetic (for ML training / MVP use only - not real incidents)
NGP-SYN-0524,Mahal,Zone VI (Gandhibagh),Mahal,Cyber Fraud,Medium,Male,18-25,Early Morning (4-7 AM),Thursday,May,2024,None/Physical Force,1,Yes,Absconding Accused,Neighbourhood watch flagged the incident; forwarded to local police station.,Fully Synthetic (for ML training / MVP use only - not real incidents)
NGP-SYN-0525,Ravi Nagar,Zone II,Ravi Nagar,Domestic Violence / Cruelty by Relatives,Medium,Female,26-35,Night (7-11 PM),Saturday,June,2023,Knife/Sharp Weapon,1,Yes,Chargesheet Filed,Complaint filed at nearest police chowki; case under review.,Fully Synthetic (for ML training / MVP use only - not real incidents)
NGP-SYN-0526,Trimurti Nagar,Zone I,Trimurti Nagar,Cyber Fraud,Medium,Male,60+,Evening (3-7 PM),Saturday,August,2023,Knife/Sharp Weapon,1,No,FIR Registered - Under Investigation,Reported during routine beat patrolling; preventive action initiated in the locality.,Fully Synthetic (for ML training / MVP use only - not real incidents)
NGP-SYN-0527,Ashok Nagar,Other,Ashok Nagar,Domestic Violence / Cruelty by Relatives,Medium,Not Specified,18-25,Early Morning (4-7 AM),Sunday,November,2025,Knife/Sharp Weapon,1,Yes,Case Closed - Acquitted,FIR lodged based on victim complaint; no further public details available.,Fully Synthetic (for ML training / MVP use only - not real incidents)
NGP-SYN-0528,Sitabuldi,Zone III,Sitabuldi,Assault,Medium,Male,46-60,Evening (3-7 PM),Tuesday,December,2024,Knife/Sharp Weapon,2,Yes,Chargesheet Filed,Local police confirmed the incident; identity of accused not officially disclosed.,Fully Synthetic (for ML training / MVP use only - not real incidents)
NGP-SYN-0529,Friends Colony,Zone IV,Friends Colony,Fraud,Medium,Female,60+,Late Night (11 PM-4 AM),Sunday,October,2026,None,2,Yes,FIR Registered - Under Investigation,Case reported to local police station; investigation ongoing.,Fully Synthetic (for ML training / MVP use only - not real incidents)
NGP-SYN-0530,Tehsil,Zone VI (Gandhibagh),Tehsil,Assault,Medium,Female,36-45,Afternoon (11 AM-3 PM),Wednesday,April,2023,Blunt Object,2,No,Chargesheet Filed,Incident logged in police records; no fatalities reported.,Fully Synthetic (for ML training / MVP use only - not real incidents)
NGP-SYN-0531,Lakadganj,Zone VI (Gandhibagh),Lakadganj,Burglary,Medium,Female,36-45,Late Night (11 PM-4 AM),Saturday,March,2025,Blunt Object,1,No,FIR Registered - Under Investigation,Case registered under relevant sections of BNS; probe underway.,Fully Synthetic (for ML training / MVP use only - not real incidents)
NGP-SYN-0532,Mangalwari,Zone III,Mangalwari,Theft,Low,Male,18-25,Night (7-11 PM),Monday,March,2026,None,2,Yes,FIR Registered - Under Investigation,Local police confirmed the incident; identity of accused not officially disclosed.,Fully Synthetic (for ML training / MVP use only - not real incidents)
NGP-SYN-0533,Beltarodi,Zone IV,Beltarodi,Burglary,Medium,Not Specified,36-45,Evening (3-7 PM),Sunday,April,2024,None/Physical Force,1,Yes,FIR Registered - Under Investigation,Complaint filed at nearest police chowki; case under review.,Fully Synthetic (for ML training / MVP use only - not real incidents)
NGP-SYN-0534,Imambada,Zone VI (Gandhibagh),Imambada,Domestic Violence / Cruelty by Relatives,Medium,Female,46-60,Early Morning (4-7 AM),Wednesday,November,2024,Knife/Sharp Weapon,1,Yes,FIR Registered - Under Investigation,Reported during routine beat patrolling; preventive action initiated in the locality.,Fully Synthetic (for ML training / MVP use only - not real incidents)
NGP-SYN-0535,Kapil Nagar,Zone V,Kapil Nagar,Burglary,Medium,Female,26-35,Afternoon (11 AM-3 PM),Friday,May,2026,None/Physical Force,1,Yes,Chargesheet Filed,Incident reported by area residents; police patrol increased subsequently.,Fully Synthetic (for ML training / MVP use only - not real incidents)
NGP-SYN-0536,Gandhibagh,Zone III,Gandhibagh,Theft,Low,Male,46-60,Late Night (11 PM-4 AM),Friday,March,2025,None,1,No,FIR Registered - Under Investigation,CCTV footage under review as part of investigation.,Fully Synthetic (for ML training / MVP use only - not real incidents)
NGP-SYN-0537,Mahal,Zone VI (Gandhibagh),Mahal,Cyber Fraud,Medium,Male,18-25,Night (7-11 PM),Monday,January,2025,None,2,Yes,FIR Registered - Under Investigation,Local police confirmed the incident; identity of accused not officially disclosed.,Fully Synthetic (for ML training / MVP use only - not real incidents)
NGP-SYN-0538,Giripeth,Zone II,Giripeth,Cyber Fraud,Medium,Male,18-25,Night (7-11 PM),Thursday,June,2024,None,1,No,FIR Registered - Under Investigation,FIR lodged based on victim complaint; no further public details available.,Fully Synthetic (for ML training / MVP use only - not real incidents)
NGP-SYN-0539,Rajendra Nagar,Other,Rajendra Nagar,Motor Vehicle Theft,Medium,Male,46-60,Late Night (11 PM-4 AM),Saturday,February,2025,Blunt Object,Unknown,Yes,FIR Registered - Under Investigation,Case linked to a series of similar incidents in the area.,Fully Synthetic (for ML training / MVP use only - not real incidents)
NGP-SYN-0540,Hawrapeth,Other,Hawrapeth,Mobile Phone Snatching,Low,Female,18-25,Late Night (11 PM-4 AM),Sunday,February,2023,None,Unknown,Yes,Chargesheet Filed,Neighbourhood watch flagged the incident; forwarded to local police station.,Fully Synthetic (for ML training / MVP use only - not real incidents)
NGP-SYN-0541,Suyog Nagar,Other,Suyog Nagar,Motor Vehicle Theft,Medium,Female,26-35,Afternoon (11 AM-3 PM),Sunday,April,2023,None/Physical Force,1,Yes,FIR Registered - Under Investigation,Reported during routine beat patrolling; preventive action initiated in the locality.,Fully Synthetic (for ML training / MVP use only - not real incidents)
NGP-SYN-0542,MIDC,Zone I,MIDC,Cybercrime (OTP/Loan App Fraud),Medium,Not Specified,36-45,Night (7-11 PM),Friday,August,2026,Blunt Object,1,No,FIR Registered - Under Investigation,CCTV footage under review as part of investigation.,Fully Synthetic (for ML training / MVP use only - not real incidents)
NGP-SYN-0543,Khapri,Zone V,Khapri,Theft,Low,Not Specified,18-25,Early Morning (4-7 AM),Monday,March,2024,None,2,Yes,Under Trial,CCTV footage under review as part of investigation.,Fully Synthetic (for ML training / MVP use only - not real incidents)
NGP-SYN-0544,Beltarodi,Zone IV,Beltarodi,Theft,Low,Male,36-45,Evening (3-7 PM),Sunday,December,2025,None,1,Yes,Chargesheet Filed,Case reported to local police station; investigation ongoing.,Fully Synthetic (for ML training / MVP use only - not real incidents)
NGP-SYN-0545,Civil Lines,Zone II,Civil Lines,Gambling,Low,Not Specified,46-60,Evening (3-7 PM),Thursday,February,2023,None,1,Yes,FIR Registered - Under Investigation,CCTV footage under review as part of investigation.,Fully Synthetic (for ML training / MVP use only - not real incidents)
NGP-SYN-0546,Besa,Zone V,Besa,Rape,High,Female,Under 18,Afternoon (11 AM-3 PM),Thursday,January,2024,Blunt Object,Unknown,Yes,FIR Registered - Under Investigation,Incident reported by area residents; police patrol increased subsequently.,Fully Synthetic (for ML training / MVP use only - not real incidents)
NGP-SYN-0547,Sakkardara,Zone VI (Gandhibagh),Sakkardara,Cyber Fraud,Medium,Female,36-45,Afternoon (11 AM-3 PM),Sunday,August,2025,Blunt Object,1,Yes,FIR Registered - Under Investigation,Incident logged in police records; no fatalities reported.,Fully Synthetic (for ML training / MVP use only - not real incidents)
NGP-SYN-0548,Gandhinagar,Other,Gandhinagar,Drug Trafficking,High,Male,26-35,Night (7-11 PM),Friday,November,2025,Firearm,2,No,Under Trial,Victim taken to nearby hospital for treatment.,Fully Synthetic (for ML training / MVP use only - not real incidents)
NGP-SYN-0549,Mahal,Zone VI (Gandhibagh),Mahal,Chain Snatching,Medium,Female,26-35,Night (7-11 PM),Saturday,July,2023,None,1,Yes,Case Closed - Convicted,Complaint filed at nearest police chowki; case under review.,Fully Synthetic (for ML training / MVP use only - not real incidents)
NGP-SYN-0550,Jaripatka,Zone V,Jaripatka,Fraud,Medium,Male,26-35,Evening (3-7 PM),Thursday,February,2024,None/Physical Force,2,Yes,Chargesheet Filed,Incident logged in police records; no fatalities reported.,Fully Synthetic (for ML training / MVP use only - not real incidents)
NGP-SYN-0551,Shraddhanand Peth,Zone II,Shraddhanand Peth,House Break-in,Medium,Male,Under 18,Morning (7-11 AM),Tuesday,January,2025,Knife/Sharp Weapon,1,Yes,Under Trial,Case linked to a series of similar incidents in the area.,Fully Synthetic (for ML training / MVP use only - not real incidents)
NGP-SYN-0552,Vayusena Nagar,Other,Vayusena Nagar,Drug Trafficking,High,Female,18-25,Evening (3-7 PM),Saturday,December,2025,Blunt Object,1,Yes,FIR Registered - Under Investigation,Victim taken to nearby hospital for treatment.,Fully Synthetic (for ML training / MVP use only - not real incidents)
NGP-SYN-0553,Sakkardara,Zone VI (Gandhibagh),Sakkardara,Theft,Low,Male,26-35,Night (7-11 PM),Tuesday,October,2026,None,1,Yes,Under Trial,FIR lodged based on victim complaint; no further public details available.,Fully Synthetic (for ML training / MVP use only - not real incidents)
NGP-SYN-0554,Yashodhara Nagar,Zone V,Yashodhara Nagar,Motor Vehicle Theft,Medium,Not Specified,26-35,Afternoon (11 AM-3 PM),Saturday,March,2025,Knife/Sharp Weapon,Unknown,Yes,FIR Registered - Under Investigation,Accused fled the scene; manhunt launched by local police.,Fully Synthetic (for ML training / MVP use only - not real incidents)
NGP-SYN-0555,Sonegaon,Zone I,Sonegaon,Domestic Violence / Cruelty by Relatives,Medium,Not Specified,18-25,Early Morning (4-7 AM),Thursday,January,2024,Blunt Object,1,Yes,Case Closed - Acquitted,FIR lodged based on victim complaint; no further public details available.,Fully Synthetic (for ML training / MVP use only - not real incidents)
NGP-SYN-0556,Besa,Zone V,Besa,Human Trafficking,High,Male,46-60,Afternoon (11 AM-3 PM),Wednesday,May,2025,Blunt Object,Unknown,Yes,Chargesheet Filed,Accused fled the scene; manhunt launched by local police.,Fully Synthetic (for ML training / MVP use only - not real incidents)
NGP-SYN-0557,Dharampeth,Zone II,Dharampeth,Chain Snatching,Medium,Female,36-45,Late Night (11 PM-4 AM),Sunday,July,2026,Blunt Object,1,No,Chargesheet Filed,Incident logged in police records; no fatalities reported.,Fully Synthetic (for ML training / MVP use only - not real incidents)
NGP-SYN-0558,Trimurti Nagar,Zone I,Trimurti Nagar,House Break-in,Medium,Male,46-60,Morning (7-11 AM),Sunday,May,2024,Knife/Sharp Weapon,Unknown,Yes,Under Trial,Incident reported by area residents; police patrol increased subsequently.,Fully Synthetic (for ML training / MVP use only - not real incidents)
NGP-SYN-0559,Suyog Nagar,Other,Suyog Nagar,Cybercrime (OTP/Loan App Fraud),Medium,Not Specified,18-25,Night (7-11 PM),Wednesday,September,2026,Blunt Object,3,Yes,Case Closed - Acquitted,Case reported to local police station; investigation ongoing.,Fully Synthetic (for ML training / MVP use only - not real incidents)
NGP-SYN-0560,Gandhibagh,Zone III,Gandhibagh,Chain Snatching,Medium,Female,18-25,Morning (7-11 AM),Sunday,May,2024,None,2,No,Chargesheet Filed,Local police confirmed the incident; identity of accused not officially disclosed.,Fully Synthetic (for ML training / MVP use only - not real incidents)
NGP-SYN-0561,MIDC,Zone I,MIDC,Molestation,High,Not Specified,18-25,Early Morning (4-7 AM),Friday,November,2023,Blunt Object,1,Yes,Under Trial,Case linked to a series of similar incidents in the area.,Fully Synthetic (for ML training / MVP use only - not real incidents)
NGP-SYN-0562,Gandhinagar,Other,Gandhinagar,Cybercrime (OTP/Loan App Fraud),Medium,Female,60+,Early Morning (4-7 AM),Saturday,July,2026,Knife/Sharp Weapon,Unknown,Yes,Case Pending,Victim taken to nearby hospital for treatment.,Fully Synthetic (for ML training / MVP use only - not real incidents)
NGP-SYN-0563,Pratap Nagar,Zone I,Pratap Nagar,Burglary,Medium,Not Specified,36-45,Night (7-11 PM),Sunday,April,2025,Knife/Sharp Weapon,1,Yes,FIR Registered - Under Investigation,Case reported to local police station; investigation ongoing.,Fully Synthetic (for ML training / MVP use only - not real incidents)
NGP-SYN-0564,Kotwali,Zone VI (Gandhibagh),Kotwali,Robbery,High,Female,18-25,Late Night (11 PM-4 AM),Friday,September,2026,Knife/Sharp Weapon,4,Yes,Under Trial,Local police confirmed the incident; identity of accused not officially disclosed.,Fully Synthetic (for ML training / MVP use only - not real incidents)
NGP-SYN-0565,Sadar,Zone II,Sadar,Theft,Low,Male,26-35,Evening (3-7 PM),Thursday,October,2025,None,4,Yes,Case Closed - Convicted,Incident reported by area residents; police patrol increased subsequently.,Fully Synthetic (for ML training / MVP use only - not real incidents)
NGP-SYN-0566,Bajeria,Zone III,Bajeria,Theft,Low,Male,36-45,Night (7-11 PM),Monday,December,2026,None,3,Yes,Chargesheet Filed,Neighbourhood watch flagged the incident; forwarded to local police station.,Fully Synthetic (for ML training / MVP use only - not real incidents)
NGP-SYN-0567,Shraddhanand Peth,Zone II,Shraddhanand Peth,Motor Vehicle Theft,Medium,Male,18-25,Evening (3-7 PM),Thursday,May,2023,Blunt Object,2,Yes,Chargesheet Filed,Incident reported by area residents; police patrol increased subsequently.,Fully Synthetic (for ML training / MVP use only - not real incidents)
NGP-SYN-0568,Gokulpeth,Other,Gokulpeth,Motor Vehicle Theft,Medium,Not Specified,46-60,Evening (3-7 PM),Friday,November,2025,None/Physical Force,1,Yes,Under Trial,Case linked to a series of similar incidents in the area.,Fully Synthetic (for ML training / MVP use only - not real incidents)
NGP-SYN-0569,Mangalwari,Zone III,Mangalwari,Theft,Low,Female,18-25,Early Morning (4-7 AM),Wednesday,May,2026,None,3,Yes,Under Trial,Case reported to local police station; investigation ongoing.,Fully Synthetic (for ML training / MVP use only - not real incidents)
NGP-SYN-0570,Mangalwari,Zone III,Mangalwari,Molestation,High,Female,46-60,Night (7-11 PM),Wednesday,June,2026,None/Physical Force,1,No,Chargesheet Filed,Reported during routine beat patrolling; preventive action initiated in the locality.,Fully Synthetic (for ML training / MVP use only - not real incidents)
NGP-SYN-0571,Sonegaon,Zone I,Sonegaon,Burglary,Medium,Not Specified,46-60,Evening (3-7 PM),Sunday,February,2023,Knife/Sharp Weapon,1,Yes,Chargesheet Filed,Case linked to a series of similar incidents in the area.,Fully Synthetic (for ML training / MVP use only - not real incidents)
NGP-SYN-0572,Ajni,Zone IV,Ajni,Chain Snatching,Medium,Female,26-35,Late Night (11 PM-4 AM),Tuesday,February,2025,Blunt Object,1,Yes,Chargesheet Filed,Case registered under relevant sections of BNS; probe underway.,Fully Synthetic (for ML training / MVP use only - not real incidents)
NGP-SYN-0573,Mahal,Zone VI (Gandhibagh),Mahal,Grievous Hurt,High,Male,Under 18,Early Morning (4-7 AM),Friday,July,2026,Knife/Sharp Weapon,4,Yes,Under Trial,Victim taken to nearby hospital for treatment.,Fully Synthetic (for ML training / MVP use only - not real incidents)
NGP-SYN-0574,Ashok Nagar,Other,Ashok Nagar,Human Trafficking,High,Male,Under 18,Late Night (11 PM-4 AM),Sunday,December,2024,Knife/Sharp Weapon,1,No,Under Trial,Incident logged in police records; no fatalities reported.,Fully Synthetic (for ML training / MVP use only - not real incidents)
NGP-SYN-0575,Ravi Nagar,Zone II,Ravi Nagar,Motor Vehicle Theft,Medium,Not Specified,26-35,Evening (3-7 PM),Saturday,December,2023,Knife/Sharp Weapon,2,Yes,Case Pending,Incident logged in police records; no fatalities reported.,Fully Synthetic (for ML training / MVP use only - not real incidents)
NGP-SYN-0576,Wardhaman Nagar,Zone IV,Wardhaman Nagar,Theft,Low,Female,60+,Evening (3-7 PM),Monday,February,2023,None,1,Yes,FIR Registered - Under Investigation,Details limited in public record; case status as per station register.,Fully Synthetic (for ML training / MVP use only - not real incidents)
NGP-SYN-0577,Pachpaoli,Zone VI (Gandhibagh),Pachpaoli,Assault,Medium,Female,46-60,Late Night (11 PM-4 AM),Wednesday,September,2025,None,Unknown,No,Case Closed - Convicted,Incident logged in police records; no fatalities reported.,Fully Synthetic (for ML training / MVP use only - not real incidents)
NGP-SYN-0578,Bhandewadi,Other,Bhandewadi,Domestic Violence / Cruelty by Relatives,Medium,Female,26-35,Evening (3-7 PM),Sunday,November,2026,Blunt Object,1,No,Case Closed - Convicted,Case registered under relevant sections of BNS; probe underway.,Fully Synthetic (for ML training / MVP use only - not real incidents)
NGP-SYN-0579,Trimurti Nagar,Zone I,Trimurti Nagar,Mobile Phone Snatching,Low,Male,Under 18,Afternoon (11 AM-3 PM),Thursday,September,2025,None,3,No,Chargesheet Filed,Details limited in public record; case status as per station register.,Fully Synthetic (for ML training / MVP use only - not real incidents)
NGP-SYN-0580,Lakadganj,Zone VI (Gandhibagh),Lakadganj,Robbery,High,Female,46-60,Evening (3-7 PM),Wednesday,October,2025,None/Physical Force,2,Yes,FIR Registered - Under Investigation,Incident reported by area residents; police patrol increased subsequently.,Fully Synthetic (for ML training / MVP use only - not real incidents)
NGP-SYN-0581,Ganeshpeth,Zone VI (Gandhibagh),Ganeshpeth,Theft,Low,Male,26-35,Afternoon (11 AM-3 PM),Thursday,June,2025,None,Unknown,No,Chargesheet Filed,Details limited in public record; case status as per station register.,Fully Synthetic (for ML training / MVP use only - not real incidents)
NGP-SYN-0582,Mangalwari,Zone III,Mangalwari,Murder,High,Male,46-60,Morning (7-11 AM),Thursday,February,2026,Firearm,1,No,Case Closed - Convicted,Neighbourhood watch flagged the incident; forwarded to local police station.,Fully Synthetic (for ML training / MVP use only - not real incidents)
NGP-SYN-0583,Yashodhara Nagar,Zone V,Yashodhara Nagar,Mobile Phone Snatching,Low,Male,60+,Evening (3-7 PM),Monday,January,2024,None,2,Yes,Case Pending,Neighbourhood watch flagged the incident; forwarded to local police station.,Fully Synthetic (for ML training / MVP use only - not real incidents)
NGP-SYN-0584,Jaripatka,Zone V,Jaripatka,House Break-in,Medium,Not Specified,46-60,Afternoon (11 AM-3 PM),Wednesday,May,2023,None/Physical Force,2,Yes,Chargesheet Filed,Case reported to local police station; investigation ongoing.,Fully Synthetic (for ML training / MVP use only - not real incidents)
NGP-SYN-0585,Ganeshpeth,Zone VI (Gandhibagh),Ganeshpeth,Mobile Phone Snatching,Low,Male,26-35,Night (7-11 PM),Saturday,February,2023,None,2,No,Chargesheet Filed,Victim taken to nearby hospital for treatment.,Fully Synthetic (for ML training / MVP use only - not real incidents)
